county,n,class_0_n,class_1_n,class_2_n,class_3_n,class_4_n,class_5_n
25017,357,0,0,276,0,81,0
25021,154,0,0,138,0,16,0
25023,109,0,0,109,0,0,0
25025,234,0,0,58,0,176,0
25027,191,0,0,189,0,2,0
26025,40,0,10,30,0,0,0
26037,23,0,12,11,0,0,0
26045,29,0,13,16,0,0,0
26049,134,0,4,130,0,0,0
26065,84,0,12,70,0,2,0
26077,68,0,3,64,0,1,0
26081,145,0,0,142,0,3,0
26099,243,0,4,50,0,189,0
26125,350,0,0,306,0,44,0
26161,107,0,8,98,0,1,0
26163,625,0,0,243,2,380,0
27003,90,83,2,5,0,0,0
27009,10,10,0,0,0,0,0
27037,106,84,7,15,0,0,0
27053,329,174,20,134,0,1,0
27109,35,30,0,5,0,0,0
27123,143,71,6,66,0,0,0
27137,67,60,0,7,0,0,0
27141,19,19,0,0,0,0,0
27145,37,32,1,4,0,0,0
27163,59,57,1,1,0,0,0
28033,41,21,0,20,0,0,0
28047,81,0,0,81,0,0,0
28049,67,58,0,9,0,0,0
28089,26,25,0,1,0,0,0
28121,37,30,0,7,0,0,0
29019,40,32,0,8,0,0,0
29021,26,16,2,8,0,0,0
29037,24,24,0,0,0,0,0
29043,19,18,1,0,0,0,0
29047,55,47,2,6,0,0,0
29077,78,65,0,13,0,0,0
29095,227,142,5,80,0,0,0
29097,29,26,0,3,0,0,0
29145,13,13,0,0,0,0,0
29165,27,25,1,1,0,0,0
29183,85,73,3,9,0,0,0
29189,236,137,11,88,0,0,0
29510,104,25,3,48,0,28,0
30013,22,19,1,0,2,0,0
30031,23,19,0,2,2,0,0
30063,26,21,0,3,2,0,0
30111,33,26,1,4,2,0,0
31055,163,100,9,51,0,3,0
31079,14,12,2,0,0,0,0
31109,81,46,14,19,2,0,0
31153,47,40,7,0,0,0,0
32003,530,269,1,5,0,255,0
32031,135,101,0,2,11,21,0
32510,14,13,0,0,1,0,0
33011,103,0,0,101,0,2,0
34007,129,0,0,96,0,33,0
34011,41,0,0,39,0,2,0
34013,211,0,0,74,0,137,0
34017,183,0,0,0,0,183,0
34021,84,0,0,83,0,1,0
34023,192,0,0,163,0,29,0
34029,144,0,0,130,0,13,1
34031,120,0,0,80,0,40,0
34039,120,0,0,56,0,64,0
35001,176,111,0,1,4,60,0
35013,58,52,0,0,0,6,0
35043,31,29,0,1,0,1,0
35049,57,49,0,7,1,0,0
36001,85,0,0,85,0,0,0
36005,361,0,0,15,0,346,0
36029,260,0,0,133,0,127,0
36047,804,0,0,0,0,804,0
36055,210,0,0,207,0,3,0
36059,281,0,0,89,0,192,0
36061,310,0,0,0,0,310,0
36065,75,0,0,74,0,1,0
36067,142,0,0,140,0,2,0
36081,724,1,0,2,0,721,0
36083,48,0,0,47,0,1,0
36085,125,0,0,0,0,125,0
36093,45,0,0,45,0,0,0
36119,241,0,0,236,0,5,0
37001,37,0,0,37,0,0,0
37021,65,0,0,65,0,0,0
37025,47,0,0,47,0,0,0
37037,19,0,0,19,0,0,0
37051,81,0,0,81,0,0,0
37057,42,0,0,42,0,0,0
37063,68,0,0,68,0,0,0
37065,14,0,0,14,0,0,0
37067,95,0,0,95,0,0,0
37069,16,0,0,16,0,0,0
37071,85,0,0,85,0,0,0
37081,126,0,0,125,0,1,0
37097,46,0,0,46,0,0,0
37119,305,0,0,303,0,2,0
37127,25,0,0,25,0,0,0
37129,54,0,0,53,0,1,0
37133,45,0,0,45,0,0,0
37135,42,0,0,42,0,0,0
37147,42,0,0,42,0,0,0
37151,34,0,0,34,0,0,0
37159,31,0,0,31,0,0,0
37183,230,0,0,230,0,0,0
38015,17,12,0,1,4,0,0
38017,42,32,7,2,0,1,0
38035,21,20,1,0,0,0,0
39017,86,0,3,81,0,2,0
39023,45,0,40,3,0,2,0
39035,427,0,0,281,0,146,0
39041,40,0,14,26,0,0,0
39045,36,0,14,22,0,0,0
39049,328,0,24,262,0,42,0
39057,42,0,13,29,0,0,0
39061,226,0,0,223,0,3,0
39089,46,0,12,34,0,0,0
39093,79,0,7,72,0,0,0
39095,168,0,14,102,0,52,0
39099,75,0,0,75,0,0,0
39113,156,0,9,146,0,1,0
39151,90,0,1,89,0,0,0
39153,138,0,0,137,0,1,0
39155,54,0,0,54,0,0,0
39165,44,0,0,44,0,0,0
40017,37,35,0,2,0,0,0
40027,71,53,1,7,7,3,0
40031,38,29,0,2,7,0,0
40047,17,14,3,0,0,0,0
40109,266,161,2,36,1,66,0
40113,10,10,0,0,0,0,0
40119,23,19,0,1,3,0,0
40125,20,18,0,2,0,0,0
40131,28,27,0,1,0,0,0
40143,208,155,3,43,0,7,0
40145,25,24,0,1,0,0,0
41003,22,17,1,4,0,0,0
41005,86,50,6,30,0,0,0
41017,43,42,0,1,0,0,0
41029,50,38,1,7,4,0,0
41039,88,53,1,34,0,0,0
41043,27,24,3,0,0,0,0
41047,64,43,5,16,0,0,0
41051,197,39,1,157,0,0,0
41053,15,13,0,2,0,0,0
41067,134,54,10,70,0,0,0
42003,394,0,0,389,0,5,0
42011,107,0,3,103,0,1,0
42043,67,0,0,67,0,0,0
42049,73,0,0,70,0,3,0
42069,60,0,0,58,0,2,0
42071,116,0,54,62,0,0,0
42077,81,0,0,79,0,2,0
42095,74,0,0,74,0,0,0
42101,408,0,0,77,0,331,0
44003,39,0,0,39,0,0,0
44007,145,0,0,123,0,22,0
45015,48,0,0,48,0,0,0
45019,98,0,0,95,0,1,2
45035,31,0,0,31,0,0,0
45045,123,0,0,123,0,0,0
45063,92,0,0,92,0,0,0
45079,98,0,0,97,0,1,0
45091,55,0,0,55,0,0,0
46083,13,13,0,0,0,0,0
46099,47,43,4,0,0,0,0
46103,23,22,0,0,1,0,0
47011,25,0,0,25,0,0,0
47019,18,0,0,18,0,0,0
47037,174,0,0,171,0,3,0
47065,87,0,0,87,0,0,0
47073,13,0,0,13,0,0,0
47093,121,0,0,121,0,0,0
47113,28,0,0,28,0,0,0
47119,21,0,0,21,0,0,0
47125,46,0,5,41,0,0,0
47149,64,0,0,64,0,0,0
47157,249,46,1,202,0,0,0
47163,40,0,0,40,0,0,0
47165,43,0,2,40,1,0,0
47179,32,0,0,20,12,0,0
47187,46,0,0,44,2,0,0
47189,28,0,0,25,3,0,0
48007,10,10,0,0,0,0,0
48021,21,21,0,0,0,0,0
48027,87,84,1,1,1,0,0
48029,375,248,0,52,0,75,0
48039,77,76,0,1,0,0,0
48041,63,44,0,19,0,0,0
48055,11,11,0,0,0,0,0
48061,121,111,4,3,0,3,0
48071,7,7,0,0,0,0,0
48085,220,144,0,37,0,39,0
