City,ST,2025 estimate,2020 census,Change,2020 land area_mi2,2020 land area_km2,2020 density_/ mi2,2020 density_/ km2,Location,City_State
Irvine,CA,318764,307670,+3.61%,65.6,169.9,4690,1810,33°41′N 117°46′W﻿ / ﻿33.68°N 117.77°W,Irvine_CA
Corpus Christi,TX,317247,317863,−0.19%,162.2,420.1,1960,760,27°45′N 97°10′W﻿ / ﻿27.75°N 97.17°W,Corpus Christi_TX
Santa Ana,CA,315586,310227,+1.73%,27.3,70.7,11364,4388,33°44′N 117°53′W﻿ / ﻿33.74°N 117.88°W,Santa Ana_CA
Cincinnati,OH,314367,309317,+1.63%,77.8,201.5,3976,1535,39°08′N 84°31′W﻿ / ﻿39.14°N 84.51°W,Cincinnati_OH
Greensboro,NC,308667,299035,+3.22%,129.6,335.7,2307,891,36°06′N 79°50′W﻿ / ﻿36.10°N 79.83°W,Greensboro_NC
Pittsburgh,PA,307632,302971,+1.54%,55.4,143.5,5469,2112,40°26′N 79°59′W﻿ / ﻿40.44°N 79.98°W,Pittsburgh_PA
Saint Paul,MN,306684,311527,−1.55%,52.0,134.7,5991,2313,44°57′N 93°06′W﻿ / ﻿44.95°N 93.10°W,Saint Paul_MN
Durham,NC,305561,283506,+7.78%,112.8,292.2,2513,970,35°59′N 78°54′W﻿ / ﻿35.98°N 78.90°W,Durham_NC
Jersey City,NJ,302013,292449,+3.27%,14.7,38.1,19894,7681,40°43′N 74°04′W﻿ / ﻿40.71°N 74.06°W,Jersey City_NJ
Lincoln,NE,301522,291082,+3.59%,97.7,253.0,2979,1150,40°49′N 96°41′W﻿ / ﻿40.81°N 96.68°W,Lincoln_NE
North Las Vegas,NV,296653,262527,+13.00%,101.3,262.4,2592,1001,36°17′N 115°05′W﻿ / ﻿36.28°N 115.09°W,North Las Vegas_NV
Plano,TX,293028,285494,+2.64%,71.7,185.7,3982,1537,33°03′N 96°45′W﻿ / ﻿33.05°N 96.75°W,Plano_TX
Gilbert,AZ,287285,267918,+7.23%,68.6,177.7,3906,1508,33°19′N 111°44′W﻿ / ﻿33.31°N 111.74°W,Gilbert_AZ
Anchorage,AK,287155,291247,−1.40%,1706.8,4420.6,171,66,61°10′N 149°17′W﻿ / ﻿61.17°N 149.28°W,Anchorage_AK
Madison,WI,286233,269840,+6.08%,79.6,206.2,3390,1310,43°05′N 89°26′W﻿ / ﻿43.09°N 89.43°W,Madison_WI
Reno,NV,283621,264165,+7.37%,108.8,281.8,2428,937,39°33′N 119°51′W﻿ / ﻿39.55°N 119.85°W,Reno_NV
Chandler,AZ,278748,275987,+1.00%,65.3,169.1,4226,1632,33°17′N 111°51′W﻿ / ﻿33.28°N 111.85°W,Chandler_AZ
St. Louis,MO,278144,301578,−7.77%,61.7,159.8,4888,1887,38°38′N 90°14′W﻿ / ﻿38.64°N 90.24°W,St. Louis_MO
Chula Vista,CA,275533,275487,+0.02%,49.6,128.5,5554,2144,32°38′N 117°01′W﻿ / ﻿32.63°N 117.02°W,Chula Vista_CA
Fort Wayne,IN,275203,263886,+4.29%,110.7,286.7,2384,920,41°05′N 85°08′W﻿ / ﻿41.09°N 85.14°W,Fort Wayne_IN
Buffalo,NY,274613,278349,−1.34%,40.4,104.6,6890,2660,42°53′N 78°52′W﻿ / ﻿42.89°N 78.86°W,Buffalo_NY
Lubbock,TX,273071,257141,+6.20%,134.6,348.6,1910,740,33°34′N 101°53′W﻿ / ﻿33.57°N 101.89°W,Lubbock_TX
Laredo,TX,269515,255205,+5.61%,106.5,275.8,2396,925,27°34′N 99°29′W﻿ / ﻿27.56°N 99.49°W,Laredo_TX
Port St. Lucie,FL,268062,204851,+30.86%,119.2,308.7,1719,664,27°17′N 80°23′W﻿ / ﻿27.28°N 80.39°W,Port St. Lucie_FL
St. Petersburg,FL,264033,258308,+2.22%,61.8,160.1,4180,1610,27°46′N 82°38′W﻿ / ﻿27.77°N 82.64°W,St. Petersburg_FL
Toledo,OH,263423,270871,−2.75%,80.5,208.5,3365,1299,41°40′N 83°35′W﻿ / ﻿41.66°N 83.58°W,Toledo_OH
Glendale,AZ,260572,248325,+4.93%,61.6,159.5,4031,1556,33°32′N 112°11′W﻿ / ﻿33.53°N 112.19°W,Glendale_AZ
Winston-Salem,NC,257271,249545,+3.10%,132.7,343.7,1881,726,36°06′N 80°16′W﻿ / ﻿36.10°N 80.26°W,Winston-Salem_NC
Irving,TX,257076,256684,+0.15%,67.0,173.5,3831,1479,32°52′N 96°58′W﻿ / ﻿32.86°N 96.97°W,Irving_TX
Chesapeake,VA,255332,249422,+2.37%,338.5,876.7,737,285,36°41′N 76°18′W﻿ / ﻿36.68°N 76.30°W,Chesapeake_VA
Garland,TX,249625,246018,+1.47%,57.1,147.9,4309,1664,32°55′N 96°38′W﻿ / ﻿32.91°N 96.63°W,Garland_TX
Scottsdale,AZ,243006,241361,+0.68%,184.0,476.6,1312,507,33°41′N 111°52′W﻿ / ﻿33.68°N 111.86°W,Scottsdale_AZ
Boise,ID,238429,235684,+1.16%,84.0,217.6,2806,1083,43°36′N 116°14′W﻿ / ﻿43.60°N 116.23°W,Boise_ID
Richmond,VA,237257,226610,+4.70%,59.9,155.1,3783,1461,37°32′N 77°29′W﻿ / ﻿37.53°N 77.48°W,Richmond_VA
Frisco,TX,236955,200509,+18.18%,68.6,177.7,2923,1129,33°10′N 96°49′W﻿ / ﻿33.16°N 96.82°W,Frisco_TX
Cape Coral,FL,236264,194016,+21.78%,106.0,274.5,1830,710,26°39′N 81°59′W﻿ / ﻿26.65°N 81.99°W,Cape Coral_FL
McKinney,TX,236001,195308,+20.84%,67.0,173.5,2915,1125,33°12′N 96°40′W﻿ / ﻿33.20°N 96.66°W,McKinney_TX
Huntsville,AL,233627,215006,+8.66%,218.1,564.9,986,381,34°47′N 86°32′W﻿ / ﻿34.78°N 86.53°W,Huntsville_AL
Norfolk,VA,231013,238005,−2.94%,53.3,138.0,4465,1724,36°55′N 76°14′W﻿ / ﻿36.92°N 76.24°W,Norfolk_VA
Hialeah,FL,230968,223109,+3.52%,21.6,55.9,10329,3988,25°52′N 80°18′W﻿ / ﻿25.87°N 80.30°W,Hialeah_FL
Spokane,WA,230783,228989,+0.78%,68.8,178.2,3328,1285,47°40′N 117°26′W﻿ / ﻿47.67°N 117.43°W,Spokane_WA
Tacoma,WA,229816,219346,+4.77%,49.7,128.7,4413,1704,47°15′N 122°28′W﻿ / ﻿47.25°N 122.46°W,Tacoma_WA
Santa Clarita,CA,228430,228673,−0.11%,70.8,183.4,3230,1250,34°25′N 118°29′W﻿ / ﻿34.41°N 118.49°W,Santa Clarita_CA
Fremont,CA,226442,230504,−1.76%,78.3,202.8,2944,1137,37°29′N 121°56′W﻿ / ﻿37.49°N 121.94°W,Fremont_CA
Baton Rouge,LA,222795,227470,−2.06%,86.3,223.5,2636,1018,30°26′N 91°08′W﻿ / ﻿30.44°N 91.13°W,Baton Rouge_LA
San Bernardino,CA,222044,222101,−0.03%,62.1,160.8,3577,1381,34°08′N 117°17′W﻿ / ﻿34.14°N 117.29°W,San Bernardino_CA
Fontana,CA,221223,208393,+6.16%,43.1,111.6,4835,1867,34°07′N 117°28′W﻿ / ﻿34.11°N 117.46°W,Fontana_CA
Modesto,CA,219652,218464,+0.54%,43.0,111.4,5081,1962,37°38′N 121°00′W﻿ / ﻿37.64°N 121.00°W,Modesto_CA
Salt Lake City,UT,218428,199723,+9.37%,110.3,285.7,1811,699,40°47′N 111°56′W﻿ / ﻿40.78°N 111.93°W,Salt Lake City_UT
Moreno Valley,CA,214263,208634,+2.70%,51.3,132.9,4067,1570,33°55′N 117°13′W﻿ / ﻿33.92°N 117.21°W,Moreno Valley_CA
Worcester,MA,213862,206518,+3.56%,37.4,96.9,5522,2132,42°16′N 71°49′W﻿ / ﻿42.27°N 71.81°W,Worcester_MA
Sioux Falls,SD,213748,192517,+11.03%,79.1,204.9,2434,940,43°32′N 96°44′W﻿ / ﻿43.54°N 96.73°W,Sioux Falls_SD
Yonkers,NY,212603,211569,+0.49%,18.0,46.6,11754,4538,40°57′N 73°52′W﻿ / ﻿40.95°N 73.87°W,Yonkers_NY
Des Moines,IA,212086,214133,−0.96%,88.2,228.4,2428,937,41°34′N 93°37′W﻿ / ﻿41.57°N 93.61°W,Des Moines_IA
Grand Prairie,TX,209434,196100,+6.80%,72.6,188.0,2701,1043,32°41′N 97°01′W﻿ / ﻿32.69°N 97.02°W,Grand Prairie_TX
Fayetteville,NC,209120,208501,+0.30%,148.3,384.1,1406,543,35°05′N 78°58′W﻿ / ﻿35.08°N 78.97°W,Fayetteville_NC
Little Rock,AR,206427,202591,+1.89%,120.0,310.8,1688,652,34°43′N 92°22′W﻿ / ﻿34.72°N 92.36°W,Little Rock_AR
Rochester,NY,206108,211328,−2.47%,35.8,92.7,5903,2279,43°10′N 77°37′W﻿ / ﻿43.17°N 77.62°W,Rochester_NY
Amarillo,TX,205130,200393,+2.36%,102.3,265.0,1959,756,35°12′N 101°50′W﻿ / ﻿35.20°N 101.83°W,Amarillo_TX
Tallahassee,FL,204902,196169,+4.45%,100.9,261.3,1944,751,30°28′N 84°15′W﻿ / ﻿30.46°N 84.25°W,Tallahassee_FL
Overland Park,KS,203677,197238,+3.26%,75.2,194.8,2623,1013,38°53′N 94°41′W﻿ / ﻿38.89°N 94.69°W,Overland Park_KS
Columbus,GA,202171,206922,−2.30%,216.5,560.7,956,369,32°31′N 84°52′W﻿ / ﻿32.51°N 84.87°W,Columbus_GA
Knoxville,TN,202021,190740,+5.91%,98.7,255.6,1933,746,35°58′N 83°57′W﻿ / ﻿35.97°N 83.95°W,Knoxville_TN
Augusta,GA,201999,202081,−0.04%,302.3,783.0,668,258,33°22′N 82°04′W﻿ / ﻿33.37°N 82.07°W,Augusta_GA
Grand Rapids,MI,201183,198917,+1.14%,44.8,116.0,4440,1710,42°58′N 85°40′W﻿ / ﻿42.96°N 85.66°W,Grand Rapids_MI
Peoria,AZ,200881,190985,+5.18%,176.1,456.1,1085,419,33°47′N 112°19′W﻿ / ﻿33.79°N 112.31°W,Peoria_AZ
Mobile,AL,200824,187041,+7.37%,139.5,361.3,1341,518,30°40′N 88°06′W﻿ / ﻿30.67°N 88.10°W,Mobile_AL
Vancouver,WA,199698,190915,+4.60%,48.7,126.1,3920,1510,45°38′N 122°36′W﻿ / ﻿45.64°N 122.60°W,Vancouver_WA
Oxnard,CA,199651,202063,−1.19%,26.5,68.6,7625,2944,34°12′N 119°13′W﻿ / ﻿34.20°N 119.21°W,Oxnard_CA
Birmingham,AL,195893,200733,−2.41%,147.0,380.7,1366,527,33°32′N 86°48′W﻿ / ﻿33.53°N 86.80°W,Birmingham_AL
Providence,RI,195310,190934,+2.29%,18.4,47.7,10377,4007,41°49′N 71°25′W﻿ / ﻿41.82°N 71.42°W,Providence_RI
Montgomery,AL,195300,200603,−2.64%,159.9,414.1,1255,485,32°21′N 86°16′W﻿ / ﻿32.35°N 86.27°W,Montgomery_AL
Chattanooga,TN,194144,181099,+7.20%,142.4,368.8,1272,491,35°04′N 85°15′W﻿ / ﻿35.07°N 85.25°W,Chattanooga_TN
Brownsville,TX,192957,186738,+3.33%,131.5,340.6,1420,550,26°00′N 97°27′W﻿ / ﻿26.00°N 97.45°W,Brownsville_TX
Huntington Beach,CA,191451,198711,−3.65%,27.0,69.9,7360,2840,33°42′N 118°00′W﻿ / ﻿33.70°N 118.00°W,Huntington Beach_CA
Tempe,AZ,190571,180587,+5.53%,39.9,103.3,4526,1747,33°23′N 111°56′W﻿ / ﻿33.39°N 111.93°W,Tempe_AZ
Akron,OH,189691,190469,−0.41%,61.9,160.3,3077,1188,41°05′N 81°31′W﻿ / ﻿41.08°N 81.52°W,Akron_OH
Clarksville,TN,188829,166722,+13.26%,99.4,257.4,1677,647,36°34′N 87°21′W﻿ / ﻿36.57°N 87.35°W,Clarksville_TN
Fort Lauderdale,FL,188677,182760,+3.24%,34.6,89.6,5282,2039,26°08′N 80°09′W﻿ / ﻿26.14°N 80.15°W,Fort Lauderdale_FL
Glendale,CA,187160,196543,−4.77%,30.5,79.0,6444,2488,34°11′N 118°15′W﻿ / ﻿34.18°N 118.25°W,Glendale_CA
Ontario,CA,187013,175265,+6.70%,50.0,129.5,3505,1353,34°02′N 117°36′W﻿ / ﻿34.04°N 117.60°W,Ontario_CA
Elk Grove,CA,185007,176124,+5.04%,42.0,108.8,4193,1619,38°25′N 121°23′W﻿ / ﻿38.41°N 121.38°W,Elk Grove_CA
Cary,NC,183582,174721,+5.07%,59.2,153.3,2951,1139,35°47′N 78°49′W﻿ / ﻿35.78°N 78.82°W,Cary_NC
Newport News,VA,183230,186247,−1.62%,69.0,178.7,2699,1042,37°05′N 76°31′W﻿ / ﻿37.08°N 76.52°W,Newport News_VA
Salem,OR,181779,175535,+3.56%,48.8,126.4,3597,1389,44°55′N 123°01′W﻿ / ﻿44.92°N 123.02°W,Salem_OR
Aurora,IL,181505,180542,+0.53%,45.0,116.5,4012,1549,41°46′N 88°17′W﻿ / ﻿41.76°N 88.29°W,Aurora_IL
Santa Rosa,CA,179437,178127,+0.74%,42.5,110.1,4191,1618,38°27′N 122°43′W﻿ / ﻿38.45°N 122.71°W,Santa Rosa_CA
Eugene,OR,178618,176654,+1.11%,44.2,114.5,3997,1543,44°04′N 123°07′W﻿ / ﻿44.06°N 123.12°W,Eugene_OR
Rancho Cucamonga,CA,177856,174453,+1.95%,40.1,103.9,4350,1680,34°07′N 117°34′W﻿ / ﻿34.12°N 117.56°W,Rancho Cucamonga_CA
Pembroke Pines,FL,176714,171178,+3.23%,32.7,84.7,5235,2021,26°01′N 80°20′W﻿ / ﻿26.01°N 80.34°W,Pembroke Pines_FL
Shreveport,LA,175902,187593,−6.23%,107.8,279.2,1740,670,32°28′N 93°47′W﻿ / ﻿32.47°N 93.79°W,Shreveport_LA
Surprise,AZ,175304,143148,+22.46%,110.3,285.7,1298,501,33°40′N 112°27′W﻿ / ﻿33.67°N 112.45°W,Surprise_AZ
Fort Collins,CO,171500,169810,+1.00%,57.2,148.1,2969,1146,40°33′N 105°04′W﻿ / ﻿40.55°N 105.06°W,Fort Collins_CO
Murfreesboro,TN,171178,152769,+12.05%,62.9,162.9,2429,938,35°51′N 86°25′W﻿ / ﻿35.85°N 86.42°W,Murfreesboro_TN
Oceanside,CA,170483,174068,−2.06%,41.3,107.0,4215,1627,33°13′N 117°19′W﻿ / ﻿33.22°N 117.31°W,Oceanside_CA
Garden Grove,CA,170455,171949,−0.87%,18.0,46.6,9553,3688,33°47′N 117°58′W﻿ / ﻿33.78°N 117.96°W,Garden Grove_CA
Lancaster,CA,170084,173516,−1.98%,94.3,244.2,1840,710,34°41′N 118°11′W﻿ / ﻿34.69°N 118.18°W,Lancaster_CA
Springfield,MO,169847,169176,+0.40%,82.4,213.4,2053,793,37°11′N 93°17′W﻿ / ﻿37.19°N 93.29°W,Springfield_MO
Denton,TX,169431,139869,+21.14%,96.4,249.7,1451,560,33°13′N 97°08′W﻿ / ﻿33.22°N 97.14°W,Denton_TX
Roseville,CA,167302,147773,+13.22%,44.1,114.2,3351,1294,38°46′N 121°19′W﻿ / ﻿38.77°N 121.32°W,Roseville_CA
Killeen,TX,161883,153095,+5.74%,54.8,141.9,2794,1079,31°05′N 97°44′W﻿ / ﻿31.08°N 97.73°W,Killeen_TX
Palmdale,CA,161845,169450,−4.49%,106.1,274.8,1597,617,34°35′N 118°07′W﻿ / ﻿34.59°N 118.11°W,Palmdale_CA
Paterson,NJ,161793,159732,+1.29%,8.4,21.8,19016,7342,40°55′N 74°10′W﻿ / ﻿40.91°N 74.16°W,Paterson_NJ
Corona,CA,161734,157136,+2.93%,39.9,103.3,3938,1520,33°52′N 117°34′W﻿ / ﻿33.86°N 117.57°W,Corona_CA
Alexandria,VA,160662,159467,+0.75%,14.9,38.6,10702,4132,38°49′N 77°05′W﻿ / ﻿38.82°N 77.08°W,Alexandria_VA
Charleston,SC,159423,150227,+6.12%,114.8,297.3,1309,505,32°50′N 79°58′W﻿ / ﻿32.83°N 79.97°W,Charleston_SC
Salinas,CA,159134,163542,−2.70%,23.5,60.9,6959,2687,36°41′N 121°38′W﻿ / ﻿36.69°N 121.63°W,Salinas_CA
Kansas City,KS,157805,156607,+0.76%,124.7,323.0,1256,485,39°07′N 94°44′W﻿ / ﻿39.12°N 94.74°W,Kansas City_KS
Macon,GA,157556,157346,+0.13%,249.4,645.9,631,244,32°49′N 83°41′W﻿ / ﻿32.81°N 83.69°W,Macon_GA
Hayward,CA,157113,162954,−3.58%,45.8,118.6,3558,1374,37°38′N 122°06′W﻿ / ﻿37.63°N 122.10°W,Hayward_CA
Hollywood,FL,157019,153067,+2.58%,27.3,70.7,5607,2165,26°02′N 80°10′W﻿ / ﻿26.03°N 80.16°W,Hollywood_FL
Lakewood,CO,156927,155984,+0.60%,43.5,112.7,3586,1385,39°42′N 105°07′W﻿ / ﻿39.70°N 105.12°W,Lakewood_CO
Sunnyvale,CA,156577,155805,+0.50%,22.1,57.2,7050,2720,37°23′N 122°02′W﻿ / ﻿37.39°N 122.03°W,Sunnyvale_CA
Springfield,MA,154702,155929,−0.79%,31.9,82.6,4888,1887,42°07′N 72°32′W﻿ / ﻿42.12°N 72.54°W,Springfield_MA
Bellevue,WA,154193,151854,+1.54%,33.5,86.8,4533,1750,47°36′N 122°10′W﻿ / ﻿47.60°N 122.16°W,Bellevue_WA
Naperville,IL,153114,149540,+2.39%,39.1,101.3,3825,1477,41°45′N 88°10′W﻿ / ﻿41.75°N 88.16°W,Naperville_IL
Bridgeport,CT,152273,148654,+2.43%,16.1,41.7,9233,3565,41°11′N 73°12′W﻿ / ﻿41.19°N 73.20°W,Bridgeport_CT
Joliet,IL,152241,150362,+1.25%,64.5,167.1,2331,900,41°31′N 88°09′W﻿ / ﻿41.52°N 88.15°W,Joliet_IL
Mesquite,TX,150693,150108,+0.39%,48.5,125.6,3095,1195,32°46′N 96°35′W﻿ / ﻿32.76°N 96.59°W,Mesquite_TX
