City,ST,2025 estimate,2020 census,Change,2020 land area_mi2,2020 land area_km2,2020 density_/ mi2,2020 density_/ km2,Location,City_State
Centennial,CO,108658,108418,+0.22%,29.7,76.9,3650,1410,39°35′N 104°52′W﻿ / ﻿39.59°N 104.87°W,Centennial_CO
Downey,CA,108468,114355,−5.15%,12.4,32.1,9222,3561,33°56′N 118°08′W﻿ / ﻿33.94°N 118.13°W,Downey_CA
Spokane Valley,WA,108405,102976,+5.27%,37.7,97.6,2731,1054,47°40′N 117°14′W﻿ / ﻿47.66°N 117.23°W,Spokane Valley_WA
Sugar Land,TX,107726,111026,−2.97%,40.5,104.9,2741,1058,29°35′N 95°38′W﻿ / ﻿29.59°N 95.63°W,Sugar Land_TX
Lee's Summit,MO,107514,101108,+6.34%,63.9,165.5,1582,611,38°55′N 94°23′W﻿ / ﻿38.92°N 94.38°W,Lee's Summit_MO
Bend,OR,107342,99178,+8.23%,33.6,87.0,2952,1140,44°04′N 121°19′W﻿ / ﻿44.06°N 121.31°W,Bend_OR
Jurupa Valley,CA,107311,105053,+2.15%,42.9,111.1,2449,946,34°00′N 117°28′W﻿ / ﻿34.00°N 117.47°W,Jurupa Valley_CA
Georgetown,TX,106907,67176,+59.14%,57.3,148.4,1172,453,30°40′N 97°42′W﻿ / ﻿30.67°N 97.70°W,Georgetown_TX
Green Bay,WI,106675,107395,−0.67%,45.5,117.8,2360,910,44°31′N 87°59′W﻿ / ﻿44.52°N 87.99°W,Green Bay_WI
Fayetteville,AR,106623,93949,+13.49%,54.1,140.1,1737,671,36°04′N 94°10′W﻿ / ﻿36.07°N 94.17°W,Fayetteville_AR
Rialto,CA,106554,104026,+2.43%,24.1,62.4,4316,1666,34°07′N 117°23′W﻿ / ﻿34.12°N 117.39°W,Rialto_CA
Brockton,MA,106134,105643,+0.46%,21.3,55.2,4960,1920,42°05′N 71°01′W﻿ / ﻿42.08°N 71.02°W,Brockton_MA
Boulder,CO,105689,108250,−2.37%,26.3,68.1,4116,1589,40°01′N 105°15′W﻿ / ﻿40.02°N 105.25°W,Boulder_CO
Carmel,IN,105634,99757,+5.89%,49.1,127.2,2032,785,39°58′N 86°09′W﻿ / ﻿39.97°N 86.15°W,Carmel_IN
Dearborn,MI,105611,109976,−3.97%,24.2,62.7,4544,1754,42°19′N 83°13′W﻿ / ﻿42.31°N 83.21°W,Dearborn_MI
West Covina,CA,105301,109501,−3.84%,16.0,41.4,6844,2642,34°04′N 117°55′W﻿ / ﻿34.06°N 117.91°W,West Covina_CA
Yuma,AZ,105227,95548,+10.13%,120.7,312.6,792,306,32°31′N 114°31′W﻿ / ﻿32.52°N 114.52°W,Yuma_AZ
Chico,CA,105081,101475,+3.55%,34.1,88.3,2976,1149,39°46′N 121°49′W﻿ / ﻿39.76°N 121.82°W,Chico_CA
El Monte,CA,105075,109450,−4.00%,9.6,24.9,11401,4402,34°04′N 118°02′W﻿ / ﻿34.07°N 118.03°W,El Monte_CA
Sandy Springs,GA,105013,108080,−2.84%,37.7,97.6,2867,1107,33°56′N 84°22′W﻿ / ﻿33.93°N 84.37°W,Sandy Springs_GA
Renton,WA,104975,106785,−1.69%,23.5,60.9,4544,1754,47°29′N 122°11′W﻿ / ﻿47.48°N 122.19°W,Renton_WA
Fishers,IN,104812,98977,+5.90%,35.6,92.2,2780,1070,39°58′N 85°58′W﻿ / ﻿39.96°N 85.97°W,Fishers_IN
Woodbridge,NJ,104802,103639,+1.12%,23.3,60.3,4448,1717,40°34′N 74°17′W﻿ / ﻿40.56°N 74.29°W,Woodbridge_NJ
Suffolk,VA,104699,94324,+11.00%,399.2,1033.9,236,91,36°42′N 76°38′W﻿ / ﻿36.70°N 76.63°W,Suffolk_VA
Lynn,MA,104236,101253,+2.95%,10.7,27.7,9463,3654,42°28′N 70°58′W﻿ / ﻿42.47°N 70.96°W,Lynn_MA
Vacaville,CA,103850,102386,+1.43%,29.9,77.4,3424,1322,38°22′N 121°58′W﻿ / ﻿38.36°N 121.97°W,Vacaville_CA
San Mateo,CA,103337,105661,−2.20%,12.1,31.3,8732,3371,37°34′N 122°19′W﻿ / ﻿37.56°N 122.31°W,San Mateo_CA
South Bend,IN,103201,103453,−0.24%,42.0,108.8,2463,951,41°41′N 86°16′W﻿ / ﻿41.68°N 86.27°W,South Bend_IN
Quincy,MA,103173,101636,+1.51%,16.6,43.0,6123,2364,42°16′N 71°01′W﻿ / ﻿42.26°N 71.01°W,Quincy_MA
Burbank,CA,102988,107337,−4.05%,17.3,44.8,6204,2395,34°11′N 118°20′W﻿ / ﻿34.19°N 118.33°W,Burbank_CA
Hesperia,CA,102605,99818,+2.79%,72.7,188.3,1373,530,34°24′N 117°19′W﻿ / ﻿34.40°N 117.32°W,Hesperia_CA
Wichita Falls,TX,101951,102316,−0.36%,72.0,186.5,1421,549,33°55′N 98°32′W﻿ / ﻿33.91°N 98.53°W,Wichita Falls_TX
Tracy,CA,101901,93000,+9.57%,25.9,67.1,3591,1386,37°44′N 121°27′W﻿ / ﻿37.73°N 121.45°W,Tracy_CA
New Bedford,MA,101834,101079,+0.75%,20.0,51.8,5054,1951,41°40′N 70°56′W﻿ / ﻿41.66°N 70.94°W,New Bedford_MA
El Cajon,CA,101755,106215,−4.20%,14.5,37.6,7325,2828,32°48′N 116°58′W﻿ / ﻿32.80°N 116.96°W,El Cajon_CA
Albany,NY,101698,99224,+2.49%,21.4,55.4,4637,1790,42°40′N 73°48′W﻿ / ﻿42.67°N 73.80°W,Albany_NY
Inglewood,CA,101662,107762,−5.66%,9.1,23.6,11842,4572,33°58′N 118°20′W﻿ / ﻿33.96°N 118.34°W,Inglewood_CA
Boca Raton,FL,101582,97422,+4.27%,29.2,75.6,3336,1288,26°22′N 80°06′W﻿ / ﻿26.37°N 80.10°W,Boca Raton_FL
Fort Myers,FL,101581,86395,+17.58%,39.8,103.1,2171,838,26°37′N 81°50′W﻿ / ﻿26.62°N 81.83°W,Fort Myers_FL
Clinton,MI,101374,100513,+0.86%,28.0,72.5,3590,1390,42°35′N 82°55′W﻿ / ﻿42.59°N 82.92°W,Clinton_MI
Daly City,CA,101261,104901,−3.47%,7.6,19.7,13803,5329,37°41′N 122°28′W﻿ / ﻿37.69°N 122.47°W,Daly City_CA
Avondale,AZ,100983,89334,+13.04%,47.3,122.5,1889,729,33°19′N 112°20′W﻿ / ﻿33.31°N 112.33°W,Avondale_AZ
Toms River,NJ,100899,95438,+5.72%,40.5,104.9,2356,910,39°59′N 74°10′W﻿ / ﻿39.99°N 74.17°W,Toms River_NJ
San Angelo,TX,100640,99893,+0.75%,59.7,154.6,1673,646,31°26′N 100°27′W﻿ / ﻿31.44°N 100.45°W,San Angelo_TX
Edmond,OK,100479,94428,+6.41%,84.6,219.1,1116,431,35°40′N 97°25′W﻿ / ﻿35.67°N 97.41°W,Edmond_OK
Davenport,IA,100358,101724,−1.34%,63.8,165.2,1594,615,41°34′N 90°36′W﻿ / ﻿41.56°N 90.60°W,Davenport_IA
Deltona,FL,100267,93692,+7.02%,37.3,96.6,2512,970,28°55′N 81°13′W﻿ / ﻿28.91°N 81.21°W,Deltona_FL
Longmont,CO,100109,98885,+1.24%,28.8,74.6,3434,1326,40°10′N 105°06′W﻿ / ﻿40.17°N 105.10°W,Longmont_CO
